run_id,started_utc,duration_s,difficulty,map_id,map_seed,team_id,score,rounds_used,items_delivered,orders_completed,replay_file,action_counts_json
20260301_231203,2026-03-01T23:12:03.034823+00:00,25.142,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_231203.jsonl,"{""drop_off"": 27, ""move_down"": 212, ""move_left"": 195, ""move_right"": 162, ""move_up"": 215, ""pick_up"": 54, ""wait"": 35}"
20260301_231357,2026-03-01T23:13:57.933296+00:00,16.144,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_231357.jsonl,"{""drop_off"": 27, ""move_down"": 212, ""move_left"": 195, ""move_right"": 162, ""move_up"": 215, ""pick_up"": 54, ""wait"": 35}"
20260301_231835,2026-03-01T23:18:35.553972+00:00,25.754,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,107,300,47,12,game_20260301_231835.jsonl,"{""drop_off"": 25, ""move_down"": 199, ""move_left"": 196, ""move_right"": 166, ""move_up"": 212, ""pick_up"": 47, ""wait"": 55}"
20260301_231934,2026-03-01T23:19:34.713688+00:00,16.411,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_231934.jsonl,"{""drop_off"": 27, ""move_down"": 212, ""move_left"": 195, ""move_right"": 162, ""move_up"": 215, ""pick_up"": 54, ""wait"": 35}"
20260301_232028,2026-03-01T23:20:28.196981+00:00,16.184,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_232028.jsonl,"{""drop_off"": 27, ""move_down"": 212, ""move_left"": 195, ""move_right"": 162, ""move_up"": 215, ""pick_up"": 54, ""wait"": 35}"
20260301_232124,2026-03-01T23:21:24.480452+00:00,31.561,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,2,300,2,0,game_20260301_232124.jsonl,"{""drop_off"": 2, ""move_down"": 137, ""move_left"": 237, ""move_right"": 223, ""move_up"": 197, ""pick_up"": 55, ""wait"": 49}"
20260301_232217,2026-03-01T23:22:17.662552+00:00,29.119,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,34,300,14,4,game_20260301_232217.jsonl,"{""drop_off"": 7, ""move_down"": 134, ""move_left"": 213, ""move_right"": 227, ""move_up"": 148, ""pick_up"": 121, ""wait"": 50}"
20260301_232518,2026-03-01T23:25:18.493244+00:00,23.705,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,42,300,17,5,game_20260301_232518.jsonl,"{""drop_off"": 9, ""move_down"": 97, ""move_left"": 284, ""move_right"": 231, ""move_up"": 155, ""pick_up"": 73, ""wait"": 51}"
20260301_232606,2026-03-01T23:26:06.287207+00:00,24.565,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,97,300,42,11,game_20260301_232606.jsonl,"{""drop_off"": 20, ""move_down"": 197, ""move_left"": 187, ""move_right"": 174, ""move_up"": 206, ""pick_up"": 61, ""wait"": 55}"
20260301_232655,2026-03-01T23:26:55.599960+00:00,25.565,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_232655.jsonl,"{""drop_off"": 27, ""move_down"": 213, ""move_left"": 196, ""move_right"": 163, ""move_up"": 216, ""pick_up"": 54, ""wait"": 31}"
20260301_232756,2026-03-01T23:27:56.829983+00:00,16.271,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_232756.jsonl,"{""drop_off"": 27, ""move_down"": 212, ""move_left"": 195, ""move_right"": 162, ""move_up"": 215, ""pick_up"": 54, ""wait"": 35}"
20260301_232841,2026-03-01T23:28:41.746585+00:00,16.134,medium,3c523f5e-160b-452c-9ffc-171ef1e845f5,7002,ed319d9d-1b43-4e46-8b3d-f9bbf1c0d98b,116,300,51,13,game_20260301_232841.jsonl,"{""drop_off"": 27, ""move_down"": 212, ""move_left"": 195, ""move_right"": 162, ""move_up"": 215, ""pick_up"": 54, ""wait"": 35}"
